snr_db,method,estimator,equalizer,num_seeds,frames_per_seed,total_bits,bit_errors,total_symbols,symbol_errors,ber_mean,ber_std,ber_ci95,ser_mean,ser_std,ser_ci95,evm_rms_mean,evm_rms_std,evm_rms_ci95,evm_db_mean,evm_db_std,evm_db_ci95,channel_mse_mean,channel_mse_std,channel_mse_ci95,channel_nmse_mean,channel_nmse_std,channel_nmse_ci95,pilot_nmse_mean,pilot_nmse_std,pilot_nmse_ci95,data_nmse_mean,data_nmse_std,data_nmse_ci95,deep_fade_nmse_mean,deep_fade_nmse_std,deep_fade_nmse_ci95,estimator_time_ms_mean,estimator_time_ms_std,estimator_time_ms_ci95,ber_pooled,ser_pooled,ber_plot
0.0,DFT-LS+MMSE,DFT-LS,MMSE,3,100,807600,253951,201900,154101,0.31445146111936606,0.000843241954729567,0.002094729139873782,0.7632540861812779,0.0025859933478849123,0.006423963597816401,2.5964943413108657,0.3037302170519182,0.7545076863767832,8.249654998080802,0.9862005473425371,2.4498579710024133,0.14579375775530934,0.009014844908949243,0.022394116203901287,0.14579375964278976,0.009014845100424647,0.022394116679552555,0.11516822966436546,0.0038875950033853924,0.009657321355921806,0.11651644222438334,0.004117118382330088,0.010227489037286685,0.8524271064500013,0.06494906085297665,0.16134241140764635,0.059871666211013995,0.0026095969616215815,0.00648259822483325,0.314451461119366,0.7632540861812779,0.31445146111936606
5.0,DFT-LS+MMSE,DFT-LS,MMSE,3,100,807600,167220,201900,117318,0.20705794947994058,0.0028868915599492046,0.007171436193803558,0.5810698365527489,0.003983416672776403,0.009895355578458888,1.593265494640672,0.3366273707611553,0.8362287465151462,3.924517856092141,1.747208471073003,4.340306453282082,0.06603090517843763,0.003943421043627039,0.00979600092778377,0.06603090613459549,0.003943420966596824,0.009796000736430109,0.03925467825805148,0.0006433342919073273,0.0015981309757891868,0.03941831567635139,0.0005064009671567651,0.0012579697397809607,0.30006064342645306,0.028661550432537087,0.07119923830669936,0.060213334509171546,0.0005347394712910909,0.0013283664865956317,0.20705794947994058,0.5810698365527489,0.20705794947994058
10.0,DFT-LS+MMSE,DFT-LS,MMSE,3,100,807600,89747,201900,68361,0.11112803368003961,0.003260873150307723,0.008100457965913516,0.3385884101040119,0.009390822784743917,0.023328097023946618,0.8913836433428348,0.09309568665856156,0.23126250602982484,-1.0293368083385446,0.8863921343401785,2.201920128313302,0.04288818305823952,0.0030894938926976983,0.0076747282890726794,0.04288818381881962,0.0030894939764976367,0.007674728497243268,0.015933762717371187,0.0004856539110307476,0.0012064311952505197,0.01574776304420084,0.0005376611520107231,0.001335624343852964,0.13722046727935472,0.01010531906132348,0.025103004169503104,0.06155199914549788,0.002169864412641139,0.005390242016826832,0.11112803368003962,0.33858841010401186,0.11112803368003961
15.0,DFT-LS+MMSE,DFT-LS,MMSE,3,100,807600,38053,201900,30413,0.04711862308073304,0.0026764901974152284,0.0066487702345292546,0.15063397721644378,0.008051165799828354,0.020000204586908123,0.5697155633552756,0.08001981840067572,0.19878024857653157,-4.946872640375117,1.2659879893176442,3.144888506886934,0.037318942974476764,0.005830034061167375,0.014482607472134807,0.03731894352007657,0.005830034347110392,0.01448260818245664,0.008617744763226557,0.0007274913921264048,0.0018071888021549494,0.008390682608975719,0.0006502413820685435,0.0016152891389371237,0.06352392993246515,0.00650841515276636,0.016167799524714203,0.061678000492975116,0.0001229996269105722,0.0003055480117397731,0.04711862308073304,0.15063397721644378,0.04711862308073304
20.0,DFT-LS+MMSE,DFT-LS,MMSE,3,100,807600,15003,201900,12335,0.018577265973254087,0.0002874523346530932,0.000714071184842425,0.06109460128776622,0.0007017296440342733,0.0017431930721986733,0.3579260983459263,0.10679496127314518,0.26529339072353597,-9.16284347415108,2.4413634589243247,6.064683036403143,0.034017693136508265,0.002608081447002409,0.006478833477815054,0.03401769348497813,0.0026080814415755456,0.006478833464333978,0.006309672305554462,0.0004062289318653395,0.0010091286092507453,0.006077785088564269,0.0003937072631229291,0.0009780230597136782,0.04238663532421924,0.0032425426913290025,0.008054922581490785,0.06100933348837619,0.0015483747672549863,0.0038463761512607516,0.018577265973254087,0.06109460128776622,0.018577265973254087
25.0,DFT-LS+MMSE,DFT-LS,MMSE,3,100,807600,7645,201900,6298,0.009466319960376425,0.0014389616355931455,0.0035745788647388683,0.031193660227835564,0.0037429043969225196,0.009297889963871358,0.22122347373379916,0.03216404336610293,0.07989991308810931,-13.164447396435754,1.2608057029597664,3.1320149939122404,0.031117931414434377,0.0022378746281985747,0.005559188758077328,0.031117931783470942,0.0022378745704555113,0.005559188614635607,0.005621084804394438,0.0005641678281247218,0.0014014705776009,0.0053485903845285065,0.0005260421390828827,0.001306761115665601,0.03755398174417981,0.006348340648411515,0.015770152411756586,0.05934133436918879,0.004095514274384429,0.010173821458010148,0.009466319960376423,0.03119366022783556,0.009466319960376425
30.0,DFT-LS+MMSE,DFT-LS,MMSE,3,100,807600,5194,201900,4401,0.006431401684001981,0.000734764930315313,0.0018252572726678723,0.021797919762258543,0.0020297959994375766,0.005042292789362836,0.1802495149939246,0.0036717085711697587,0.009121029728199719,-14.88372885238064,0.17798641645411792,0.4421427692929738,0.030084929724883597,0.0020414156652889186,0.005071157639502092,0.030084930179970493,0.0020414156892079607,0.005071157698920287,0.004905050929422335,0.0004831107723344831,0.0012001136885089175,0.004657504209729571,0.00044199082159856215,0.0010979660681805004,0.03280821071316799,0.0035666130594424225,0.008859958004182144,0.06122066629662489,0.0005272362812882578,0.0013097275293511663,0.006431401684001982,0.021797919762258543,0.006431401684001981
0.0,DFT-LS+ZF,DFT-LS,ZF,3,100,807600,253951,201900,154101,0.31445146111936606,0.000843241954729567,0.002094729139873782,0.7632540861812779,0.0025859933478849123,0.006423963597816401,2.596494393907849,0.30373023079604633,0.7545077205190902,8.249655172148824,0.9862005715349909,2.4498580310998,0.14579375775530934,0.009014844908949243,0.022394116203901287,0.14579375964278976,0.009014845100424647,0.022394116679552555,0.11516822966436546,0.0038875950033853924,0.009657321355921806,0.11651644222438334,0.004117118382330088,0.010227489037286685,0.8524271064500013,0.06494906085297665,0.16134241140764635,0.059871666211013995,0.0026095969616215815,0.00648259822483325,0.314451461119366,0.7632540861812779,0.31445146111936606
5.0,DFT-LS+ZF,DFT-LS,ZF,3,100,807600,167220,201900,117318,0.20705794947994058,0.0028868915599492046,0.007171436193803558,0.5810698365527489,0.003983416672776403,0.009895355578458888,1.593265497532465,0.33662736773671176,0.836228739002012,3.924517874420097,1.7472084528483123,4.3403064080094405,0.06603090517843763,0.003943421043627039,0.00979600092778377,0.06603090613459549,0.003943420966596824,0.009796000736430109,0.03925467825805148,0.0006433342919073273,0.0015981309757891868,0.03941831567635139,0.0005064009671567651,0.0012579697397809607,0.30006064342645306,0.028661550432537087,0.07119923830669936,0.060213334509171546,0.0005347394712910909,0.0013283664865956317,0.20705794947994058,0.5810698365527489,0.20705794947994058
10.0,DFT-LS+ZF,DFT-LS,ZF,3,100,807600,89747,201900,68361,0.11112803368003961,0.003260873150307723,0.008100457965913516,0.3385884101040119,0.009390822784743917,0.023328097023946618,0.8913836338594509,0.09309568119732364,0.23126249246335778,-1.02933689782785,0.8863920922734191,2.2019200238136785,0.04288818305823952,0.0030894938926976983,0.0076747282890726794,0.04288818381881962,0.0030894939764976367,0.007674728497243268,0.015933762717371187,0.0004856539110307476,0.0012064311952505197,0.01574776304420084,0.0005376611520107231,0.001335624343852964,0.13722046727935472,0.01010531906132348,0.025103004169503104,0.06155199914549788,0.002169864412641139,0.005390242016826832,0.11112803368003962,0.33858841010401186,0.11112803368003961
