snr_db,method,estimator,equalizer,num_seeds,frames_per_seed,total_bits,bit_errors,total_symbols,symbol_errors,ber_mean,ber_std,ber_ci95,ser_mean,ser_std,ser_ci95,evm_rms_mean,evm_rms_std,evm_rms_ci95,evm_db_mean,evm_db_std,evm_db_ci95,channel_mse_mean,channel_mse_std,channel_mse_ci95,channel_nmse_mean,channel_nmse_std,channel_nmse_ci95,pilot_nmse_mean,pilot_nmse_std,pilot_nmse_ci95,data_nmse_mean,data_nmse_std,data_nmse_ci95,deep_fade_nmse_mean,deep_fade_nmse_std,deep_fade_nmse_ci95,estimator_time_ms_mean,estimator_time_ms_std,estimator_time_ms_ci95,ber_pooled,ser_pooled,ber_plot
0.0,DFT-LS+MMSE,DFT-LS,MMSE,3,100,807600,254390,201900,153528,0.3149950470529965,0.0012889580675444232,0.003201949344451931,0.7604160475482913,0.0020043469514315097,0.0049790738494828206,2.6347214372558434,0.09622577719060126,0.23903808196165732,8.410874218225041,0.3146248835280345,0.7815715382270458,0.1633817676703135,0.007074294387373766,0.01757352147169887,0.16338176858921846,0.007074294332346304,0.01757352133500308,0.10026279037818313,0.004035158957886679,0.010023890540193462,0.09730358876287937,0.004074299070549087,0.010121119970100305,0.7869257018715143,0.06316045141010761,0.15689925923902262,0.0605933335221683,0.0043873078071760266,0.010898676776862614,0.3149950470529965,0.7604160475482913,0.3149950470529965
5.0,DFT-LS+MMSE,DFT-LS,MMSE,3,100,807600,171937,201900,118816,0.2128987122337791,0.0015829911326214795,0.0039323679699113856,0.5884893511639425,0.004099568327037607,0.01018389228309133,1.5427070538100136,0.04949241468424522,0.12294597376271935,3.762703953508428,0.2776335091557463,0.6896798701393699,0.10740535548577705,0.008150629827373792,0.02024728692869632,0.10740535620599985,0.008150629978317623,0.02024728730366158,0.0483763237670064,0.0033732814954709044,0.008379695775248823,0.04536512209102511,0.0030161152032328205,0.00749244551933416,0.37340665418654684,0.048262271615396264,0.11989012897454338,0.0650813333534946,0.0034423410974226674,0.008551249336815664,0.2128987122337791,0.5884893511639425,0.2128987122337791
10.0,DFT-LS+MMSE,DFT-LS,MMSE,3,100,807600,95804,201900,73185,0.11862803368003962,0.001265088375821952,0.0031426537430762854,0.36248142644873704,0.0037309895887702995,0.009268291939612157,1.06471107065345,0.26207727718766033,0.6510360476547116,0.37785083038774353,2.056624127863748,5.108937554921968,0.09149641537495579,0.006792209032734988,0.016872782604308217,0.09149641573506717,0.006792209182133681,0.016872782975435142,0.0329667568183504,0.0022273603649705675,0.005533069880281366,0.02997533999849111,0.0019663091503715497,0.004884582713397717,0.20008525891850393,0.006115684113843496,0.015192201540351028,0.06322733330307528,0.0007017247160774165,0.0017431808304752034,0.11862803368003963,0.362481426448737,0.11862803368003962
15.0,DFT-LS+MMSE,DFT-LS,MMSE,3,100,807600,47104,201900,37320,0.05832590391282813,0.0015915673078851322,0.003953672370306405,0.18484398216939077,0.0044475616349806905,0.01104835558278949,0.7029939108957429,0.18739627496435338,0.4655181536804845,-3.2607959544868383,2.2641892730958593,5.624557959837991,0.07641692602774129,0.004827185009225646,0.011991392323013291,0.07641692652987937,0.0048271850952412935,0.011991392536688007,0.02457756456569769,0.0023288193365091875,0.005785107937675855,0.021920369419191652,0.002115123284141206,0.005254257515136378,0.1531705683710364,0.01178672080113588,0.029279837639973702,0.06106066682453578,0.0018891417404805903,0.004692888240369489,0.05832590391282813,0.1848439821693908,0.05832590391282813
20.0,DFT-LS+MMSE,DFT-LS,MMSE,3,100,807600,29309,201900,23466,0.03629148093115404,0.0011146132394121004,0.002768852782039798,0.11622585438335808,0.004597244726420497,0.011420188995046486,0.662463408808776,0.31640883052349206,0.7860031082342256,-4.1875068131068405,3.8949584025582333,9.67561305349373,0.08685789299469131,0.0029444240224445356,0.007314354753538071,0.0868578938006734,0.0029444246080036172,0.007314356208147469,0.02717366309312638,0.0013115317456311147,0.003258025469479993,0.02405632266852384,0.0011506823863284361,0.0028584535101253304,0.15840060777186105,0.02378010582023873,0.05907305765746854,0.0600729997192199,0.0003075364875969477,0.0007639629865788154,0.03629148093115404,0.1162258543833581,0.03629148093115404
25.0,DFT-LS+MMSE,DFT-LS,MMSE,3,100,807600,22316,201900,17850,0.027632491332342746,0.003537676636018771,0.008788075943512276,0.08841010401188708,0.010743969583745542,0.026689500016880797,0.3926378284444835,0.034235218147624424,0.08504499647051311,-8.142206706194841,0.758320871386493,1.883773474218559,0.08263586333040923,0.007908205848270252,0.019645072379972643,0.08263586366413316,0.007908205857817562,0.019645072403689474,0.025556404486706014,0.0024162670929520026,0.00600234020726341,0.022589059628371617,0.002115310864847257,0.005254723491442277,0.14421524384485868,0.027916250793824187,0.06934781136761875,0.06218133329336221,0.003120385177425566,0.007751466494429593,0.027632491332342742,0.08841010401188708,0.027632491332342746
30.0,DFT-LS+MMSE,DFT-LS,MMSE,3,100,807600,18712,201900,14419,0.023169886082218916,0.0005845369346241283,0.0014520702432107345,0.07141654284299158,0.0011879950813475201,0.0029511433829492763,0.5215530070616662,0.23898897467576133,0.5936815246846033,-6.215527435428089,3.734484749877008,9.276974401125974,0.07371229823639926,0.0021192098425929637,0.005264409089097662,0.07371229861436102,0.0021192098679000044,0.005264409151963836,0.022774983290582893,0.0008742101441769613,0.002171658387144683,0.02016976819635602,0.0008139802282300576,0.002022038981565427,0.16072282252270575,0.012889657320751938,0.03201968384201861,0.06020566759010156,0.0054685370582290725,0.013584599134451049,0.02316988608221892,0.07141654284299158,0.023169886082218916
0.0,DFT-LS+ZF,DFT-LS,ZF,3,100,807600,254390,201900,153528,0.3149950470529965,0.0012889580675444232,0.003201949344451931,0.7604160475482913,0.0020043469514315097,0.0049790738494828206,2.634721401309261,0.09622583555206916,0.23903822693958066,8.410874094975865,0.3146250790288356,0.7815720238779584,0.1633817676703135,0.007074294387373766,0.01757352147169887,0.16338176858921846,0.007074294332346304,0.01757352133500308,0.10026279037818313,0.004035158957886679,0.010023890540193462,0.09730358876287937,0.004074299070549087,0.010121119970100305,0.7869257018715143,0.06316045141010761,0.15689925923902262,0.0605933335221683,0.0043873078071760266,0.010898676776862614,0.3149950470529965,0.7604160475482913,0.3149950470529965
5.0,DFT-LS+ZF,DFT-LS,ZF,3,100,807600,171937,201900,118816,0.2128987122337791,0.0015829911326214795,0.0039323679699113856,0.5884893511639425,0.004099568327037607,0.01018389228309133,1.5427070420159439,0.049492427101878504,0.12294600460983049,3.7627038855464856,0.2776335826642672,0.6896800527446588,0.10740535548577705,0.008150629827373792,0.02024728692869632,0.10740535620599985,0.008150629978317623,0.02024728730366158,0.0483763237670064,0.0033732814954709044,0.008379695775248823,0.04536512209102511,0.0030161152032328205,0.00749244551933416,0.37340665418654684,0.048262271615396264,0.11989012897454338,0.0650813333534946,0.0034423410974226674,0.008551249336815664,0.2128987122337791,0.5884893511639425,0.2128987122337791
10.0,DFT-LS+ZF,DFT-LS,ZF,3,100,807600,95804,201900,73185,0.11862803368003962,0.001265088375821952,0.0031426537430762854,0.36248142644873704,0.0037309895887702995,0.009268291939612157,1.064711068357645,0.26207730932543455,0.6510361274893685,0.3778507731674036,2.0566243541973126,5.108938117165713,0.09149641537495579,0.006792209032734988,0.016872782604308217,0.09149641573506717,0.006792209182133681,0.016872782975435142,0.0329667568183504,0.0022273603649705675,0.005533069880281366,0.02997533999849111,0.0019663091503715497,0.004884582713397717,0.20008525891850393,0.006115684113843496,0.015192201540351028,0.06322733330307528,0.0007017247160774165,0.0017431808304752034,0.11862803368003963,0.362481426448737,0.11862803368003962
