training_regime,scenario,snr_db,method,estimator,equalizer,num_training_seeds,test_seed_count,frames_per_test_seed,ber_mean,ber_std,ber_ci95,ser_mean,ser_std,ser_ci95,evm_rms_mean,evm_rms_std,evm_rms_ci95,evm_db_mean,evm_db_std,evm_db_ci95,channel_mse_mean,channel_mse_std,channel_mse_ci95,channel_nmse_mean,channel_nmse_std,channel_nmse_ci95,pilot_nmse_mean,pilot_nmse_std,pilot_nmse_ci95,data_nmse_mean,data_nmse_std,data_nmse_ci95,deep_fade_nmse_mean,deep_fade_nmse_std,deep_fade_nmse_ci95
single,matched_12tap_exponential,10.0,ResidualCNN-single+ZF,ResidualCNN-single,ZF,3,3,60,0.10755461999889936,0.00023239018112462698,0.0005772892127721756,0.332584888008365,0.0008088690243789234,0.0020093420473263806,0.8589019427389387,0.026407784990394822,0.0656005745784341,-1.3501977830652452,0.2545767788681025,0.6324037769221779,0.041770360911161535,0.0024381564386800492,0.006056716356471992,0.041770361304386626,0.0024381564693653967,0.00605671643269862,0.016762349426022005,0.000559784256377732,0.0013905811817120392,0.01654034757176069,0.0005419637947089762,0.0013463127008398817,0.13141963105062368,0.003826314928991997,0.009505093212142306
single,matched_12tap_exponential,20.0,ResidualCNN-single+ZF,ResidualCNN-single,ZF,3,3,60,0.01885696989708877,0.0003474200803209438,0.0008630393233445851,0.06119916350228386,0.0010252166052154648,0.0025467792317283864,0.3794361548711383,0.026123952017432665,0.0648954943864606,-8.535871761359104,0.5465581666454051,1.3577257534289722,0.027018552668892814,0.0011218308166192252,0.002786782237767486,0.027018553111271035,0.001121830845598879,0.002786782309756937,0.006339964444999135,0.00025206464829470994,0.0006261632986279724,0.0061081767761303725,0.00022916927324004272,0.0005692880340300059,0.0457036476418445,0.0021329302611375676,0.005298492498225311
single,matched_12tap_exponential,30.0,ResidualCNN-single+ZF,ResidualCNN-single,ZF,3,3,60,0.007626162566727202,0.0002693329657337591,0.0006690601771967904,0.02442078036431677,0.0007398323069562749,0.0018378453340813286,0.2151837205990337,0.009011505979492055,0.02238582184331981,-13.475861498688916,0.3102462348525116,0.7706943719256737,0.02581719086220902,0.0010560740338564612,0.00262343333390313,0.025817191042437182,0.0010560740407746468,0.002623433351088856,0.005334995166588298,0.00018651329697016647,0.0004633247147464791,0.0051060939054069525,0.00017321873669511308,0.00043029919620608115,0.04092746744324729,0.002005541927721269,0.004982042335148859
single,mismatch_8tap_uniform,10.0,ResidualCNN-single+ZF,ResidualCNN-single,ZF,3,3,60,0.11389714380056133,0.00047347153939459994,0.0011761685064506076,0.34861317483902926,0.001218795147236234,0.003027654988147825,1.3400991068783765,0.3549615308357876,0.8817733249698076,2.086912716070325,2.113592255246055,5.250454228520154,0.08732801174262056,0.006258002688386195,0.015545740478455096,0.08732801211687426,0.006258002704178235,0.0155457405176847,0.023342486584766047,0.00100412969652079,0.0024943964466157082,0.022392899803472338,0.00100019737449014,0.0024846280171646243,0.1613560708015467,0.007659095954460896,0.0190262490983907
single,mismatch_8tap_uniform,20.0,ResidualCNN-single+ZF,ResidualCNN-single,ZF,3,3,60,0.027709674756480104,0.0006015581036715834,0.0014943531711395952,0.0881597050244896,0.0016177380487578529,0.004018684094652777,0.5793339243795453,0.08370757344726601,0.2079411399594641,-5.149766281250659,1.1251010441294662,2.7949059332516795,0.07201674213434604,0.00472579656213686,0.011739529458064234,0.07201674257715544,0.004725796583989417,0.011739529512348997,0.013965089938008329,0.0005069909468495101,0.0012594353305848752,0.013045860084066926,0.000481673577287058,0.001196543498092468,0.09117149284445782,0.006445121200692411,0.016010568631441586
single,mismatch_8tap_uniform,30.0,ResidualCNN-single+ZF,ResidualCNN-single,ZF,3,3,60,0.014962027406306753,0.0009592406274853098,0.0023828858173793083,0.04837103076330417,0.0030421598902558196,0.007557144108558727,0.3802854972921359,0.09708969971738937,0.24118418449048232,-9.10335677077586,1.863465160995144,4.629104080960937,0.07389443204587291,0.004909366369981987,0.012195542140471076,0.07389443260121711,0.004909366399198893,0.012195542213049894,0.013389548929127934,0.00045516121455114225,0.0011306831379925754,0.012424747121770418,0.00044480566383195744,0.0011049585239251054,0.07929321845499712,0.006216946527495407,0.0154437513208866
single,unseen_10tap_steep_exponential,10.0,ResidualCNN-single+ZF,ResidualCNN-single,ZF,3,3,60,0.09827197182323483,1.3267914205317431e-05,3.295932603369694e-05,0.30827417313301414,9.496138862328621e-05,0.00023589716663928402,1.372686689972735,0.30279077760496675,0.7521739894187052,1.2999070983815544,1.1311322020529573,2.8098881600949452,0.02110602976495607,0.0005080128755519777,0.001261973942213395,0.02110603003831649,0.0005080129005634633,0.0012619740043453697,0.012222737975901477,0.0001903239971929227,0.00047279101887800324,0.012201977910094515,0.00016686700401417225,0.00041452061751839903,0.13796304905683632,0.006966594105156038,0.01730597913907566
single,unseen_10tap_steep_exponential,20.0,ResidualCNN-single+ZF,ResidualCNN-single,ZF,3,3,60,0.012384431236585768,0.00019517236944918278,0.00048483504324038293,0.04104342083539706,0.0007143241754262497,0.0017744796225913051,0.27756000553866284,0.016572212892738983,0.041167659014007936,-11.360155178301303,0.42394705407110517,1.0531428648034886,0.00984412016599284,0.0004053850142740866,0.0010070322017367043,0.009844120346221003,0.00040538500446543006,0.0010070321773706509,0.0030661332954574996,0.0001994262048534073,0.0004954021561875958,0.00298353400700122,0.00019202900418334155,0.00047702649104170065,0.01937362360595553,0.000832840210818421,0.002068889775556135
single,unseen_10tap_steep_exponential,30.0,ResidualCNN-single+ZF,ResidualCNN-single,ZF,3,3,60,0.002869957624786748,0.0001654375400007747,0.00041096963205512814,0.009438115678828905,0.0005626273917398948,0.001397643921484799,0.1260783519240047,0.010131775420029696,0.025168725407880805,-18.021854967082202,0.6908327864110332,1.7161237772372084,0.009426926757657418,0.000435425351877232,0.0010816565372503894,0.009426926875689618,0.00043542536318822274,0.001081656565348448,0.0022765128818045253,0.00021465218723721623,0.0005332255932256618,0.0021830730758126637,0.00019964248719590635,0.0004959394313109834,0.012203121701195078,0.0011756662351957345,0.002920516831281257
domain_randomized,matched_12tap_exponential,10.0,ResidualCNN-domain_randomized+ZF,ResidualCNN-domain_randomized,ZF,3,3,60,0.10713224368499258,0.00010784829643762484,0.0002679100203287327,0.3317208739199824,0.0005530996162787823,0.0013739756151527598,0.8125843280410009,0.010407948598807547,0.025854777616256833,-1.8459015139986545,0.14041341353301948,0.3488062557929678,0.04390389382045854,0.002261454013853421,0.005617763199202436,0.04390389433527297,0.0022614540255943083,0.0056177632283684175,0.016566292806183575,0.0005992424925340824,0.0014886008741871798,0.016387591793857237,0.0005612997542479911,0.0013943458871236273,0.1265138813501431,0.0028953060853864846,0.007192339033768788
