training_regime,training_seed,scenario,test_seed,snr_db,method,estimator,equalizer,frames,bit_errors,total_bits,ber,symbol_errors,total_symbols,ser,evm_rms,evm_db,channel_mse,channel_nmse,pilot_nmse,data_nmse,deep_fade_nmse,estimator_time_ms
baseline,0,matched_12tap_exponential,8101,10.0,LS-linear+ZF,LS-linear,ZF,60,39162,161520,0.2424591381872214,26072,40380,0.6456661713719664,2.172766280443673,6.740260255148086,0.3804083563387394,0.3804083610574404,0.08679807471732298,0.37443479721744855,2.281624213854472,0.2558666645199992
baseline,0,matched_12tap_exponential,8101,10.0,LS-linear+MMSE,LS-linear,MMSE,60,39162,161520,0.2424591381872214,26072,40380,0.6456661713719664,2.172766241406818,6.74026009909365,0.3804083563387394,0.3804083610574404,0.08679807471732298,0.37443479721744855,2.281624213854472,0.2558666645199992
baseline,0,matched_12tap_exponential,8101,10.0,Frame-LS-linear+ZF,Frame-LS-linear,ZF,60,21738,161520,0.13458395245170876,16382,40380,0.4056958890539871,1.6220917017584928,4.201508051040883,0.09514803532510996,0.09514803613225618,0.04978478830307722,0.05536164616545041,0.5018312973280747,0.05089166904023538
baseline,0,matched_12tap_exponential,8101,10.0,Frame-LS-linear+MMSE,Frame-LS-linear,MMSE,60,21738,161520,0.13458395245170876,16382,40380,0.4056958890539871,1.622091897901274,4.201509101335663,0.09514803532510996,0.09514803613225618,0.04978478830307722,0.05536164616545041,0.5018312973280747,0.05089166904023538
baseline,0,matched_12tap_exponential,8101,10.0,Frame-LS-cubic+ZF,Frame-LS-cubic,ZF,60,21738,161520,0.13458395245170876,16382,40380,0.4056958890539871,1.6220917017584928,4.201508051040883,0.12538910216341417,0.12538910241176685,0.04978478830307722,0.05536164616545041,0.5018312973280747,0.4572016652673483
baseline,0,matched_12tap_exponential,8101,10.0,Frame-LS-cubic+MMSE,Frame-LS-cubic,MMSE,60,21738,161520,0.13458395245170876,16382,40380,0.4056958890539871,1.622091897901274,4.201509101335663,0.12538910216341417,0.12538910241176685,0.04978478830307722,0.05536164616545041,0.5018312973280747,0.4572016652673483
baseline,0,matched_12tap_exponential,8101,10.0,DFT-LS+ZF,DFT-LS,ZF,60,17640,161520,0.10921248142644874,13616,40380,0.33719663199603767,0.7795696016135206,-2.162902080387929,0.045909553704162435,0.04590955413877964,0.016944533245017133,0.01687565497122705,0.1660368827637285,0.038839997917724155
baseline,0,matched_12tap_exponential,8101,10.0,DFT-LS+MMSE,DFT-LS,MMSE,60,17640,161520,0.10921248142644874,13616,40380,0.33719663199603767,0.7795696158785421,-2.162901921448431,0.045909553704162435,0.04590955413877964,0.016944533245017133,0.01687565497122705,0.1660368827637285,0.038839997917724155
baseline,0,matched_12tap_exponential,8101,10.0,LMMSE-oracle+ZF,LMMSE-oracle,ZF,60,17084,161520,0.10577018325903913,13192,40380,0.3266963843486875,0.7331749728400785,-2.6958473647299863,0.01599910983350128,0.015999110035287836,0.010252363064015906,0.010420972279583414,0.08983067686979969,0.017015001018686842
baseline,0,matched_12tap_exponential,8101,10.0,LMMSE-oracle+MMSE,LMMSE-oracle,MMSE,60,17084,161520,0.10577018325903913,13192,40380,0.3266963843486875,0.7331749714261404,-2.6958473814808444,0.01599910983350128,0.015999110035287836,0.010252363064015906,0.010420972279583414,0.08983067686979969,0.017015001018686842
